ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001665160-21-001206	47	VT
0001665160-21-001206	48	VA
0001665160-21-001206	49	WA
0001665160-21-001206	50	WV
0001665160-21-001206	51	WI
0001665160-21-001206	37	OK
0001669191-21-000674	1	AL
0001669191-21-000674	32	NM
0001669191-21-000674	3	AZ
0001669191-21-000674	4	AR
0001669191-21-000674	5	CA
0001669191-21-000674	6	CO
0001669191-21-000674	7	CT
0001669191-21-000674	33	NY
0001669191-21-000674	34	NC
0001669191-21-000674	35	ND
0001669191-21-000674	36	OH
0001669191-21-000674	37	OK
0001669191-21-000674	38	OR
0001669191-21-000674	39	PA
0001669191-21-000674	40	RI
0001669191-21-000674	41	SC
0001669191-21-000674	42	SD
0001669191-21-000674	43	TN
0001669191-21-000674	44	TX
0001669191-21-000674	45	UT
0001669191-21-000674	46	VT
0001669191-21-000674	47	VA
0001669191-21-000674	48	WA
0001669191-21-000674	49	WV
0001669191-21-000674	50	WI
0001669191-21-000674	51	WY
0001669191-21-000674	52	B5
0001669191-21-000674	53	GU
0001669191-21-000674	54	1V
0001669191-21-000674	55	PR
0001669191-21-000674	56	VI
0001669191-21-000674	8	DE
0001669191-21-000674	9	DC
0001669191-21-000674	10	FL
0001669191-21-000674	11	GA
0001669191-21-000674	12	HI
0001669191-21-000674	13	ID
0001669191-21-000674	14	IL
0001669191-21-000674	15	IN
0001669191-21-000674	16	IA
0001669191-21-000674	17	KS
0001669191-21-000674	18	KY
0001669191-21-000674	19	LA
0001669191-21-000674	20	ME
0001669191-21-000674	21	MD
0001669191-21-000674	22	MA
0001669191-21-000674	23	MI
0001669191-21-000674	24	MN
0001669191-21-000674	25	MS
0001669191-21-000674	26	MO
0001669191-21-000674	27	MT
0001669191-21-000674	28	NE
0001669191-21-000674	29	NV
0001669191-21-000674	30	NH
0001669191-21-000674	31	NJ
0001669191-21-000674	2	AK
0001824547-21-000002	16	IA
0001824547-21-000002	17	KS
0001824547-21-000002	18	KY
0001824547-21-000002	19	LA
0001824547-21-000002	20	ME
0001824547-21-000002	21	MD
0001824547-21-000002	22	MA
0001824547-21-000002	23	MI
0001824547-21-000002	24	MN
0001824547-21-000002	25	MS
0001824547-21-000002	26	MO
0001824547-21-000002	27	MT
0001824547-21-000002	28	NE
0001824547-21-000002	29	NV
0001824547-21-000002	30	NH
0001824547-21-000002	31	NJ
0001824547-21-000002	32	NM
0001824547-21-000002	33	NY
0001824547-21-000002	34	NC
0001824547-21-000002	35	ND
0001824547-21-000002	36	OH
0001824547-21-000002	37	OK
0001824547-21-000002	38	OR
0001824547-21-000002	39	PA
0001824547-21-000002	40	PR
0001824547-21-000002	41	RI
0001824547-21-000002	42	SC
0001824547-21-000002	43	SD
0001824547-21-000002	44	TN
0001824547-21-000002	45	TX
0001824547-21-000002	46	UT
0001824547-21-000002	47	VT
0001824547-21-000002	48	VA
0001824547-21-000002	49	WA
0001824547-21-000002	50	WV
0001824547-21-000002	51	WI
0001824547-21-000002	52	WY
0001824547-21-000002	53	A0
0001824547-21-000002	54	A1
0001824547-21-000002	55	A2
0001824547-21-000002	56	A3
0001824547-21-000002	57	A4
0001824547-21-000002	58	A5
0001824547-21-000002	59	A6
0001824547-21-000002	60	A7
0001824547-21-000002	61	A8
0001824547-21-000002	62	A9
0001824547-21-000002	63	B0
0001824547-21-000002	64	Z4
0001824547-21-000002	8	DE
0001824547-21-000002	9	DC
0001824547-21-000002	10	FL
0001824547-21-000002	11	GA
0001824547-21-000002	12	HI
0001824547-21-000002	13	ID
0001824547-21-000002	1	AL
0001824547-21-000002	2	AK
0001824547-21-000002	3	AZ
0001824547-21-000002	4	AR
0001824547-21-000002	5	CA
0001824547-21-000002	6	CO
0001824547-21-000002	7	CT
0001824547-21-000002	14	IL
0001824547-21-000002	15	IN
0001670254-21-000764	3	AZ
0001670254-21-000764	4	AR
0001670254-21-000764	5	CA
0001670254-21-000764	6	CO
0001670254-21-000764	7	CT
0001670254-21-000764	8	DE
0001670254-21-000764	9	DC
0001670254-21-000764	10	FL
0001670254-21-000764	11	GA
0001670254-21-000764	12	HI
0001670254-21-000764	13	ID
0001670254-21-000764	14	IL
0001670254-21-000764	15	IN
0001670254-21-000764	22	MA
0001670254-21-000764	23	MI
0001670254-21-000764	24	MN
0001670254-21-000764	25	MS
0001670254-21-000764	26	MO
0001670254-21-000764	27	MT
0001670254-21-000764	28	NE
0001670254-21-000764	29	NV
0001670254-21-000764	30	NH
0001670254-21-000764	31	NJ
0001670254-21-000764	32	NM
0001670254-21-000764	33	NY
0001670254-21-000764	34	NC
0001670254-21-000764	35	ND
0001670254-21-000764	36	OH
0001670254-21-000764	37	OK
0001670254-21-000764	38	OR
0001670254-21-000764	39	PA
0001670254-21-000764	40	RI
0001670254-21-000764	41	SC
0001670254-21-000764	42	SD
0001670254-21-000764	43	TN
0001670254-21-000764	44	TX
0001670254-21-000764	45	UT
0001670254-21-000764	46	VT
0001670254-21-000764	47	VA
0001670254-21-000764	48	WA
0001670254-21-000764	49	WV
0001670254-21-000764	50	WI
0001670254-21-000764	51	WY
0001670254-21-000764	52	B5
0001670254-21-000764	53	GU
0001670254-21-000764	54	PR
0001670254-21-000764	55	VI
0001670254-21-000764	56	1V
0001670254-21-000764	16	IA
0001670254-21-000764	17	KS
0001670254-21-000764	18	KY
0001670254-21-000764	19	LA
0001670254-21-000764	20	ME
0001670254-21-000764	21	MD
0001670254-21-000764	1	AL
0001670254-21-000764	2	AK
0001669191-21-000672	8	DE
0001669191-21-000672	56	VI
0001669191-21-000672	10	FL
0001669191-21-000672	11	GA
0001669191-21-000672	12	HI
0001669191-21-000672	13	ID
0001669191-21-000672	1	AL
0001669191-21-000672	2	AK
0001669191-21-000672	3	AZ
0001669191-21-000672	4	AR
0001669191-21-000672	5	CA
0001669191-21-000672	6	CO
0001669191-21-000672	7	CT
0001669191-21-000672	14	IL
0001669191-21-000672	15	IN
0001669191-21-000672	16	IA
0001669191-21-000672	17	KS
0001669191-21-000672	18	KY
0001669191-21-000672	19	LA
0001669191-21-000672	20	ME
0001669191-21-000672	21	MD
0001669191-21-000672	22	MA
0001669191-21-000672	23	MI
0001669191-21-000672	24	MN
0001669191-21-000672	25	MS
0001669191-21-000672	26	MO
0001669191-21-000672	27	MT
0001669191-21-000672	28	NE
0001669191-21-000672	29	NV
0001669191-21-000672	30	NH
0001669191-21-000672	31	NJ
0001669191-21-000672	32	NM
0001669191-21-000672	33	NY
0001669191-21-000672	34	NC
0001669191-21-000672	35	ND
0001669191-21-000672	36	OH
0001669191-21-000672	37	OK
0001669191-21-000672	38	OR
0001669191-21-000672	39	PA
0001669191-21-000672	40	RI
0001669191-21-000672	41	SC
0001669191-21-000672	42	SD
0001669191-21-000672	43	TN
0001669191-21-000672	44	TX
0001669191-21-000672	45	UT
0001669191-21-000672	46	VT
0001669191-21-000672	47	VA
0001669191-21-000672	48	WA
0001669191-21-000672	49	WV
0001669191-21-000672	50	WI
0001669191-21-000672	51	WY
0001669191-21-000672	52	B5
0001669191-21-000672	53	GU
0001669191-21-000672	54	1V
0001669191-21-000672	55	PR
0001669191-21-000672	9	DC
0001665160-21-001205	1	AL
0001665160-21-001205	2	AK
0001665160-21-001205	3	AZ
0001665160-21-001205	4	AR
0001665160-21-001205	5	CA
0001665160-21-001205	6	CO
0001665160-21-001205	7	CT
0001665160-21-001205	8	DE
0001665160-21-001205	9	DC
0001665160-21-001205	10	FL
0001665160-21-001205	11	GA
0001665160-21-001205	12	HI
0001665160-21-001205	13	ID
0001665160-21-001205	14	IL
0001665160-21-001205	15	IN
0001665160-21-001205	16	IA
0001665160-21-001205	17	KS
0001665160-21-001205	18	KY
0001665160-21-001205	19	LA
0001665160-21-001205	20	ME
0001665160-21-001205	21	MD
0001665160-21-001205	22	MA
0001665160-21-001205	23	MI
0001665160-21-001205	24	MN
0001665160-21-001205	25	MS
0001665160-21-001205	26	MO
0001665160-21-001205	27	MT
0001665160-21-001205	28	NE
0001665160-21-001205	29	NV
0001665160-21-001205	30	NH
0001665160-21-001205	31	NJ
0001665160-21-001205	32	NM
0001665160-21-001205	33	NY
0001665160-21-001205	34	NC
0001665160-21-001205	35	ND
0001665160-21-001205	36	OH
0001665160-21-001205	37	OK
0001665160-21-001205	38	OR
0001665160-21-001205	39	PA
0001665160-21-001205	40	PR
0001665160-21-001205	41	RI
0001665160-21-001205	42	SC
0001665160-21-001205	43	SD
0001665160-21-001205	44	TN
0001665160-21-001205	45	TX
0001665160-21-001205	46	UT
0001665160-21-001205	47	VT
0001665160-21-001205	48	VA
0001665160-21-001205	49	WA
0001665160-21-001205	50	WV
0001665160-21-001205	51	WI
0001665160-21-001205	52	WY
0001669191-21-000670	1	AL
0001669191-21-000670	39	PA
0001669191-21-000670	3	AZ
0001669191-21-000670	4	AR
0001669191-21-000670	5	CA
0001669191-21-000670	6	CO
0001669191-21-000670	7	CT
0001669191-21-000670	8	DE
0001669191-21-000670	9	DC
0001669191-21-000670	10	FL
0001669191-21-000670	11	GA
0001669191-21-000670	12	HI
0001669191-21-000670	13	ID
0001669191-21-000670	14	IL
0001669191-21-000670	15	IN
0001669191-21-000670	16	IA
0001669191-21-000670	17	KS
0001669191-21-000670	18	KY
0001669191-21-000670	19	LA
0001669191-21-000670	20	ME
0001669191-21-000670	21	MD
0001669191-21-000670	22	MA
0001669191-21-000670	23	MI
0001669191-21-000670	24	MN
0001669191-21-000670	25	MS
0001669191-21-000670	40	RI
0001669191-21-000670	41	SC
0001669191-21-000670	42	SD
0001669191-21-000670	43	TN
0001669191-21-000670	44	TX
0001669191-21-000670	45	UT
0001669191-21-000670	46	VT
0001669191-21-000670	47	VA
0001669191-21-000670	48	WA
0001669191-21-000670	49	WV
0001669191-21-000670	50	WI
0001669191-21-000670	51	WY
0001669191-21-000670	52	B5
0001669191-21-000670	53	GU
0001669191-21-000670	54	1V
0001669191-21-000670	55	PR
0001669191-21-000670	56	VI
0001669191-21-000670	26	MO
0001669191-21-000670	27	MT
0001669191-21-000670	28	NE
0001669191-21-000670	29	NV
0001669191-21-000670	30	NH
0001669191-21-000670	31	NJ
0001669191-21-000670	32	NM
0001669191-21-000670	33	NY
0001669191-21-000670	34	NC
0001669191-21-000670	35	ND
0001669191-21-000670	36	OH
0001669191-21-000670	37	OK
0001669191-21-000670	38	OR
0001669191-21-000670	2	AK
0001669191-21-000668	1	AL
0001669191-21-000668	47	VA
0001669191-21-000668	3	AZ
0001669191-21-000668	4	AR
0001669191-21-000668	5	CA
0001669191-21-000668	6	CO
0001669191-21-000668	7	CT
0001669191-21-000668	8	DE
0001669191-21-000668	9	DC
0001669191-21-000668	10	FL
0001669191-21-000668	11	GA
0001669191-21-000668	12	HI
0001669191-21-000668	13	ID
0001669191-21-000668	14	IL
0001669191-21-000668	15	IN
0001669191-21-000668	48	WA
0001669191-21-000668	49	WV
0001669191-21-000668	50	WI
0001669191-21-000668	51	WY
0001669191-21-000668	52	B5
0001669191-21-000668	53	GU
0001669191-21-000668	54	1V
0001669191-21-000668	55	PR
0001669191-21-000668	56	VI
0001669191-21-000668	16	IA
0001669191-21-000668	17	KS
0001669191-21-000668	18	KY
0001669191-21-000668	19	LA
0001669191-21-000668	20	ME
0001669191-21-000668	21	MD
0001669191-21-000668	22	MA
0001669191-21-000668	23	MI
0001669191-21-000668	24	MN
0001669191-21-000668	25	MS
0001669191-21-000668	26	MO
0001669191-21-000668	27	MT
0001669191-21-000668	28	NE
0001669191-21-000668	29	NV
0001669191-21-000668	30	NH
0001669191-21-000668	31	NJ
0001669191-21-000668	32	NM
0001669191-21-000668	33	NY
0001669191-21-000668	34	NC
0001669191-21-000668	35	ND
0001669191-21-000668	36	OH
0001669191-21-000668	37	OK
0001669191-21-000668	38	OR
0001669191-21-000668	39	PA
0001669191-21-000668	40	RI
0001669191-21-000668	41	SC
0001669191-21-000668	42	SD
0001669191-21-000668	43	TN
0001669191-21-000668	44	TX
0001669191-21-000668	45	UT
0001669191-21-000668	46	VT
0001669191-21-000668	2	AK
0001669191-21-000666	56	VI
0001669191-21-000666	17	KS
0001669191-21-000666	19	LA
0001669191-21-000666	20	ME
0001669191-21-000666	21	MD
0001669191-21-000666	22	MA
0001669191-21-000666	23	MI
0001669191-21-000666	24	MN
0001669191-21-000666	25	MS
0001669191-21-000666	26	MO
0001669191-21-000666	27	MT
0001669191-21-000666	28	NE
0001669191-21-000666	29	NV
0001669191-21-000666	30	NH
0001669191-21-000666	31	NJ
0001669191-21-000666	32	NM
0001669191-21-000666	33	NY
0001669191-21-000666	34	NC
0001669191-21-000666	35	ND
0001669191-21-000666	36	OH
0001669191-21-000666	37	OK
0001669191-21-000666	38	OR
0001669191-21-000666	39	PA
0001669191-21-000666	40	RI
0001669191-21-000666	41	SC
0001669191-21-000666	42	SD
0001669191-21-000666	43	TN
0001669191-21-000666	44	TX
0001669191-21-000666	45	UT
0001669191-21-000666	46	VT
0001669191-21-000666	47	VA
0001669191-21-000666	48	WA
0001669191-21-000666	49	WV
0001669191-21-000666	50	WI
0001669191-21-000666	51	WY
0001669191-21-000666	52	B5
0001669191-21-000666	53	GU
0001669191-21-000666	54	1V
0001669191-21-000666	55	PR
0001669191-21-000666	1	AL
0001669191-21-000666	2	AK
0001669191-21-000666	3	AZ
0001669191-21-000666	4	AR
0001669191-21-000666	5	CA
0001669191-21-000666	6	CO
0001669191-21-000666	7	CT
0001669191-21-000666	8	DE
0001669191-21-000666	9	DC
0001669191-21-000666	10	FL
0001669191-21-000666	11	GA
0001669191-21-000666	12	HI
0001669191-21-000666	13	ID
0001669191-21-000666	14	IL
0001669191-21-000666	15	IN
0001669191-21-000666	16	IA
0001669191-21-000666	18	KY
0001669191-21-000664	11	GA
0001669191-21-000664	44	TX
0001669191-21-000664	45	UT
0001669191-21-000664	46	VT
0001669191-21-000664	47	VA
0001669191-21-000664	48	WA
0001669191-21-000664	49	WV
0001669191-21-000664	50	WI
0001669191-21-000664	51	WY
0001669191-21-000664	52	B5
0001669191-21-000664	53	GU
0001669191-21-000664	54	1V
0001669191-21-000664	55	PR
0001669191-21-000664	56	VI
0001669191-21-000664	1	AL
0001669191-21-000664	2	AK
0001669191-21-000664	3	AZ
0001669191-21-000664	4	AR
0001669191-21-000664	5	CA
0001669191-21-000664	6	CO
0001669191-21-000664	7	CT
0001669191-21-000664	8	DE
0001669191-21-000664	9	DC
0001669191-21-000664	10	FL
0001669191-21-000664	12	HI
0001669191-21-000664	13	ID
0001669191-21-000664	14	IL
0001669191-21-000664	15	IN
0001669191-21-000664	16	IA
0001669191-21-000664	17	KS
0001669191-21-000664	18	KY
0001669191-21-000664	19	LA
0001669191-21-000664	20	ME
0001669191-21-000664	21	MD
0001669191-21-000664	22	MA
0001669191-21-000664	23	MI
0001669191-21-000664	24	MN
0001669191-21-000664	25	MS
0001669191-21-000664	26	MO
