ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001670254-22-001241	1			Livsn Designs I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001241	2			Livsn Designs I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001938502-22-000002	1			GATR CF Investors SPV, LLC	Limited Liability Company		DE	02-NOV-2022	1635 ST. PATICK ST		THIBODAUX	LA	70301	
0001670254-22-001239	2			Outsite I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001239	1			Outsite I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001238	2			HEAVYS I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001236	2			Hot poppy I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001238	1			HEAVYS I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001236	1			Hot poppy I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001234	2			SOZ EV II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001234	1			SOZ EV II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001230	2			Gryphon Online Safety I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
