ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001670254-21-000684	2			Contractor Plus I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000679	1			Leap Club I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000675	1			Gilgal General I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000675	2			Gilgal General I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000677	2			FoodieKid I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000677	1			FoodieKid I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000673	2			The SMART Tire Company I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000673	1			The SMART Tire Company I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000671	2			Power Panel I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000671	1			Power Panel I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000669	1			unlo I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000669	2			unlo I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000667	1			inBalance I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000667	2			inBalance I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000663	2			Hypnos Virtual I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000663	1			Hypnos Virtual I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000661	1			demonpore I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000661	2			demonpore I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000659	2			Kanda I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000659	1			Kanda I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000657	2			Innatrix I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000657	1			Innatrix I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000655	2			washbnb I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000655	1			washbnb I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000652	1			Jivati I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000652	2			Jivati I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000648	1			LimeLoop I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000650	1			Chisos I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000650	2			Chisos I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000646	2			StarWalker I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000646	1			StarWalker I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000643	1			Revelation Ale Works I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000643	2			Revelation Ale Works I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000639	2			Canine Biologics I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000639	1			Canine Biologics I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000599	1			Roam I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-APR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001821982-21-000010	1			AHD Investors, LLC	Limited Liability Company		NC	29-JUN-2020	197 N Second St.		Albemarle	NC	28001	
0001670254-21-000551	1			Bluelight I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	26-APR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000551	2			Bluelight I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	26-APR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001821982-21-000009	1			AHD Investors, LLC	Limited Liability Company		NC	29-JUN-2020	197 N. Second Street		Albemarle	NC	28001	
0001670254-21-000536	1			Stonks Trading I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-APR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000530	1			Cava Health I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-APR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000530	2			Cava Health I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-APR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000529	1			Roam I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-APR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001641389-21-000010	2			Wefunder I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-MAR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001641389-21-000010	1			Wefunder I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-MAR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001641389-21-000005	1			Wefunder I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-MAR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/wefunder
0001641389-21-000005	2			Wefunder I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-MAR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/wefunder
